"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 05 04:09:20 GMT 2024","Fri Jan 05 04:09:22 GMT 2024","2116","tests","test_login","TestLogin","","","test_login_with_valid_credentials",""
"passed","Fri Jan 05 04:09:32 GMT 2024","Fri Jan 05 04:09:32 GMT 2024","715","tests","test_products","TestProducts","","","test_all_products_and_product_details",""
"passed","Fri Jan 05 04:09:30 GMT 2024","Fri Jan 05 04:09:30 GMT 2024","457","tests","test_login","TestLogin","","","test_registration_with_existing_email",""
"passed","Fri Jan 05 04:09:35 GMT 2024","Fri Jan 05 04:09:35 GMT 2024","615","tests","test_products","TestProducts","","","test_search_product",""
"broken","Fri Jan 05 04:08:42 GMT 2024","Fri Jan 05 04:09:13 GMT 2024","30517","tests","test_contact_us","TestContactUs","","","test_contact_us",""
"passed","Fri Jan 05 04:09:15 GMT 2024","Fri Jan 05 04:09:18 GMT 2024","3415","tests","test_login","TestLogin","","","test_register",""
"passed","Fri Jan 05 04:09:37 GMT 2024","Fri Jan 05 04:09:39 GMT 2024","2092","tests","test_subscribe","TestSubscribe","","","test_subscribe",""
"passed","Fri Jan 05 04:09:24 GMT 2024","Fri Jan 05 04:09:25 GMT 2024","460","tests","test_login","TestLogin","","","test_login_with_invalid_credentials",""
"passed","Fri Jan 05 04:09:27 GMT 2024","Fri Jan 05 04:09:28 GMT 2024","998","tests","test_login","TestLogin","","","test_logout",""
"passed","Fri Jan 05 04:09:40 GMT 2024","Fri Jan 05 04:09:41 GMT 2024","561","tests","test_test_cases","TestTestCases","","","test_verify_test_cases_page",""
